GRILL CD 001		
GRILL CD 002		
GRILL CD 003	1990	Hootenanny
01	Ancient Beatbox	Raining
02	Colorblind James Experience	Polka Girl
03	Edward II & the Red Hot Polkas	Just As the Tide Was A'Flowing
04	Gods Little Monkeys	Gastown
05	Boiled In Lead	Tape Decks All Over Hell
06	June Tabor & Oysterband	Valentine's Day Is Over
07	Andy White	Travelling Circus
08	Weddings Parties Anything	The Wind and the Rain
09	Davy Spillane	Pigeon On the Gate
10	Machanic Manyeruke	Kana Vatsvene Vopinda
11	Sweet Honey in the Rock	Ode to the International Debt
12	The Four Brothers	Viimbay
13	Rey De Copas	Frontera Del Ensueno
14	The Happy End	Rhumba Por Nicaragua
15	Bruce Cockburn	See How I Miss You
16	Rory McLeod	Collectorman
17	Roy Carriere	I'm Coming Home To Stay
18	Charles Mann	She's About a Mover
19	The Barely Works	Liberty/Blackberry Blossom/The Cuckoo's Nest
20	Ewan MacColl & Peggy Seeger	Rogues Gallery
21	The Jolly Boys	Back to Back (Belly to Belly)
GRILL CD 004	1993	Cooking Vinyl Sampler
01	Tom Robinson	Living In a Boom Time
02	The Ukrainians	What Difference Does It Make?
03	Oysterband	Granite Years
04	TV Smith	Lion And The Lamb
05	The Barely Works	Big River
06	Rory McLeod	Spring Is Returning
07	June Tabor	Don't Think Twice
08	Rev Hammer	Down By the River 'O'
09	Bruce Cockburn	Rumours of Glory
10	The Horseflies	Hush Little Baby
11	Bhundu Boys	Radio Africa
12	Michelle Shocked	The Secret Of a Long Life
13	Sweet Honey in the Rock	On Children
14	Screamin' Jay Hawkins	Constipation Blues
15	Cheb Mami	Let Me Cry
16	Ewan MacColl	The Joy Of Living
GRILL CD 005	1993	Cooking Vinyl Sampler Volume 2
01	Oysterband	The Road to Santiago
02	The Ukrainians	Venus in Furs
03	Jackie Leven	Call Mother a Lonely Field (Malt Mix)
04	Honky Tonk Cowboys & Rebecca Price	Love Wore a Halo
05	Bhundu Boys	Pombi
06	Alex Chilton & Medium Cool	That Old Feeling
07	June Tabor	Illusions
08	Weddings Parties Anything	Old Ronny
09	TV Smith	Gather Your Things and Go
10	Tom Robinson	Portobello Terrace
11	Rev Hammer	Caledonia Rain (Piano Version)
12	June Tabor & Oysterband	All Tomorrow's Parties
13	Ewan MacColl	Ballad of Accounting
14	Michelle Shocked	Fogtown
15	Bruce Cockburn	Silver Wheels
16	Barely Works	Run Out Of Loving
17	Rory McLeod	Back To Donegal
18	Awatinas	Kullakita
GRILL CD 006	1994	The Cooking Vinyl Sampler for Mid and Budget Titles at a Special Price
01	June Tabor & Oysterband	Finisterre
02	Tom Robinson	Riggin' It Up Duncannon
03	Oysterband	Bells Of Rhymney
04	The Ukrainians	Chertez Richku, Cherez Hai
05	Rev Hammer	Caledonian Rain
06	Michelle Shocked	Stranded In A Limousine
07	Ewan MacColl	Dirty Old Town
08	The Barely Works	It's Not That Bad Anymore
09	The Horseflies	Hush Little Baby
10	The Happy End	Turn Things Upside Down
11	Rory McLeod	Immaculate Deception
12	Gods Little Monkeys	Ball Of Confusion
13	Sweet Honey in the Rock	Waters Of Babylon (Rivers Of Babylon)
14	Flaco Jiminez	The Free Mexican Airforce
15	Cheb Sahraoui	N' Sel Fik
16	Awatinas	Kullakita
17	The Four Brothers	Guhwa Uri Mwana Waani
GRILL CD 007	1994	Cooking Vinyl Sampler Volume 3
01	Billy Bragg	Sexuality
02	Tom Robinson	DDR
03	Jackie Leven	Shadow in My Eye
04	Oysterband	Blood Wedding
05	Goats Don't Shave	The Evictions
06	Weddings Parties Anything	Fathers Day
07	June Tabor	False, False
08	Michelle Shocked	The L&N Don't Stop Here Anymore
09	Incantation	Theme from the Mission
10	Rev Hammer	Spanish Lullaby
11	Andy White	Street Scenes from My Heart
12	The Ukrainians	Kievskiy Express
13	Rory McLeod	Huge Sky
14	Bhundu Boys	Lizzie
GRILL CD 008	1995	Cooking Vinyl Sampler Volume 4
01	Billy Bragg	Ontario Quebec and Me
02	Jackie Leven	Leven's Lament
03	Oysterband	Jam Tomorrow
04	Pere Ubu	Memphis
05	Bert Jansch	Summer Heat
06	Incantation	Cacharpaya Shuffle
07	June Tabor	All Our Trades
08	Rory McLeod	How Can You Keep On Moving
09	Rockingbirds	Roll On Forever
10	Goats Don't Shave	Let It Go
11	Immaculate Fools	No Dancing
12	Tom Robinson Band	You Gotta Survive
13	Poison Girls	Persons Unknown
14	The Barely Works	Liberty/Blackberry Blossom/The Cuckoo's Nest
15	The Ukrainians	Polityka
16	Four Brothers	Rumbidzai
GRILL CD 009	1996	Cooking Vinyl Sampler Volume 5
01	The Wedding Present	Go Man Go
02	Tom Robinson	Rum Thunderbird
03	Ancient Beatbox	Raining (My Eyes Are Filled With Clouds)
04	Jackie Leven	Stranger On The Square
05	Bert Jansch	When The Circus Comes To Town
06	Savourna Stevenson & June Tabor	Witch Of Fauldshape
07	The Wedding Present	Venus
08	Billy Bragg	Rule Nor Reason
09	Ani DiFranco	Not a Pretty Girl
10	Savourna Stevenson	Earth & Wind
11	Edward II & the Red Hot Polkas	Swedish Polka
12	Pere Ubu	Caligari's Mirror
13	David Thomas & Two Pale Boys	Obsession
14	Pere Ubu	My Friend is a Stooge For The Media Priests
15	Rev Hammer	Pillory Scene - June 1637
16	Wired to the Moon	Hold Me
17	Andy White	If You Know By Now
GRILL CD 010	1997	Cooking Vinyl Sampler Volume 6
01	Oysterband	Not Like Jordan
02	Chuck Prophet	Homemade Blood
03	Great Big Sea	Mari Mac
04	Rev Hammer's Freeborn John	Bonny Besses
05	Ani DiFranco	In or Out
06	Jackie Leven	Extremely Violent Man
07	Billy Bragg	Sugardaddy Moodswings remix
08	Carter	Negative Equity
09	The Wedding Present	Snake Eyes
10	Andy White	Hand In My Pocket
11	David Thomas	Hurry Back
12	Wired to the Moon	Promises
13	Rory McLeod	By My Rambling Woman
14	Any DiFranco & Utah Phillips	Holding On
15	Savourna Stevenson & Danny Thompson	Dawn
16	Bhundu Boys	Kachembere
17	Pere Ubu	Codex
01	Four Brothers	Makorokoto
02	Edward II & the Red Hot Polkas	Bjorn Again Polka
03	Incantation	Cacharpaya Shuffle
04	Ancient Beatbox	Raining (My Eyes Are Filled With Clouds)
05	Michelle Shocked	Who Cares
06	Bert Jansch	Back Home
07	Barely Works	Big River
08	June Tabor	Windy City
09	Sweet Honey in the Rock	Breaths
10	Ewan MacColl	Dirty Old Town
11	Bruce Cockburn	Rumours of Glory
12	Goats Don't Shave	Las Vegas (In the Hills of Donegal)
13	Rockingbirds	We Had It All
14	The Ukrainians	Spivaye Solovey
15	Immaculate Fools	Ready For Me
16	Tom Robinson	Loved
17	Poison Girls	Old Tart's Song
GRILL CD 011	1998	This is Modern Folk
01	Billy Bragg	The Boy Done Good
02	Ani DiFranco	Both Hands (Live)
03	Oysterband	Sail On By
04	Bruce Cockburn	Call It Democracy
05	Rev Hammer	England's New Chains
06	Levellers Mutineers	Burford Stomp
07	Jackie Leven	Desolation Blues
08	Goats Don't Shave	Arranmore
09	Andy White	Between a Man and a Woman
10	Great Big Sea	Run Runaway
11	The Ukrainians	Spivaye Solovey
12	Chuck Prophet	New Year's Day
13	Tom Robinson	Hard
14	David Thomas	Kathleen
15	Edward II & the Red Hot Polkas	Bjorn Again Polka
16	Eddi Reader	Bonny Besses
GRILL CD 012	1998	This is Folk
01	Bert Jansch	Step Back
02	Rory McLeod	Spring is Returning/Dosvedanya
03	The Happy End	Turn Things Upside Down
04	Savourna Stevenson	Maybe Then I'll Be A Rose
05	June Tabor	Doctor Calls
